Id,Scientific,Longitude,Latitude,LocalityNa,Source
4045529699,Carya cathayensis,105.47,25.12,"贵州,CN",GBIF
4045477839,Carya cathayensis,119.72,30.23,"浙江,CN",GBIF
4045252726,Carya cathayensis,119.42,30.9,"安徽,CN",GBIF
4045093709,Carya cathayensis,119.03,29.6,"浙江,CN",GBIF
4044935707,Carya cathayensis,119.28,29.48,"浙江,CN",GBIF
4044437611,Carya cathayensis,109.2,26.68,"贵州,CN",GBIF
4044159219,Carya cathayensis,118.43,29.87,"安徽,CN",GBIF
4043483035,Carya cathayensis,119.82,31.38,"浙江,CN",GBIF
4044537475,Carya cathayensis,119.68,30.63,"浙江,CN",GBIF
4043043715,Carya cathayensis,109.13,26.23,"贵州,CN",GBIF
4045220685,Carya cathayensis,118.13,30.3,"安徽,CN",GBIF
2417725619,Carya cathayensis,118.87,29.57,"浙江,CN",GBIF
2417679202,Carya cathayensis,109.85,29,"湖南,CN",GBIF
2417641575,Carya cathayensis,120.17,30.27,"浙江,CN",GBIF
2417631387,Carya cathayensis,106.17,25.25,"贵州,CN",GBIF
2417474628,Carya cathayensis,105.39,25.13,"贵州,CN",GBIF
2417283872,Carya cathayensis,119.36,30.19,"浙江,CN",GBIF
1322441517,Carya cathayensis,119.440683,30.3996,"Anjixian, Baofu Township, Shengxiwu Village.Zhejiang,CN",GBIF
1319916330,Carya cathayensis,119.456617,30.450267,"Anjixian, Baofu Township, Shengxiwu Village.Zhejiang,CN",GBIF
1304890074,Carya cathayensis,116.999992,32,"Ging-Chuan, Shei CountyAnhwei,CN",GBIF
1304890072,Carya cathayensis,120.062141,30.431325,"Chekiang YuhangChekiang,CN",GBIF
1302592825,Carya cathayensis,120.5,30.5,CN,GBIF
0,Carya cathayensis,119.2438314,30.10782752,"Heqiaozhen, 河桥镇, Lin'An, Hangzhou, Zhejiang, China",Peng et al. (2021)
0,Carya cathayensis,119.3007916,30.1834127,"Taiyangzhen, 太阳镇, Lin'An, Hangzhou, Zhejiang, China",Peng et al. (2021)
0,Carya cathayensis,119.1349596,30.16269178,"Longgangzhen, 龙岗镇, Lin'An, Hangzhou, Zhejiang, China",Peng et al. (2021)
0,Carya cathayensis,119.1636073,30.03992626,"Tuankouzhen, 湍口镇Lin'An, Hangzhou, Zhejiang, China",Peng et al. (2021)
0,Carya cathayensis,108.9177816,26.6253161,"Yandongxiang 彦洞, Jinping County, Guizhou, Qiandongnan Miao and Dong Autonomous Prefecture, Guizhou, China",Yang et al. (2021)
0,Carya cathayensis,109.0466616,26.66823453,"Pingqiuzhen, 平秋镇, Jinping County, Guizhou, Qiandongnan Miao and Dong Autonomous Prefecture, Guizhou, China",Yang et al. (2021)
0,Carya cathayensis,109.3142427,26.57076765,"Tongguzhen, 铜鼓镇, Jinping County, Guizhou, Qiandongnan Miao and Dong Autonomous Prefecture, Guizhou, China",Yang et al. (2021)
0,Carya cathayensis,109.1453746,26.49042997,"Zhonglingxiang, 钟灵乡, Jinping County, Guizhou, Qiandongnan Miao and Dong Autonomous Prefecture, Guizhou, China",Yang et al. (2018)
0,Carya cathayensis,104.9569305,25.32556738,"Pingzhaicun, 平寨村, Anlong County, Qianxinan Buyei and Miao Autonomous Prefecture, Guizhou, China",Jihua et al. (2021)
0,Carya cathayensis,105.2354728,25.26257333,"Baopucun, 堡堡村, Anlong County, Qianxinan Buyei and Miao Autonomous Prefecture, Guizhou, China",Jihua et al. (2021)
0,Carya cathayensis,105.5750506,25.09065516,"Pohuang, 坡荒, Anlong County, Qianxinan Buyei and Miao Autonomous Prefecture, Guizhou, China",Jihua et al. (2021)
0,Carya cathayensis,105.3602632,25.19110704,"Yangliujing, 杨柳井, Anlong County, Qianxinan Buyei and Miao Autonomous Prefecture, Guizhou, China", 
0,Carya cathayensis,118.9697222,30.28055556,"Daoshi Town, China",Kang et al. (2023)
0,Carya cathayensis,121.9441116,29.11842397,浙江省宁波市象山县樊岙乡,CVH
0,Carya cathayensis,119.1112,29.84552,浙江省杭州市淳安县临岐村,CVH
0,Carya cathayensis,117.74764,28.85783,江西省上饶市德兴市茅山岗,CVH
0,Carya cathayensis,118.06611,29.49267,江西省上饶市婺源县石镇源,CVH
0,Carya cathayensis,119.2178241,30.16399513,浙江省杭州市临安区昌化镇,CVH
0,Carya cathayensis,119.8493393,30.08281509,浙江省杭州市富阳区青龙山,CVH
0,Carya cathayensis,119.18759,29.90801,浙江省杭州市淳安县童家,CVH
0,Carya cathayensis,118.8925441,30.03902777,浙江省杭州市临安区昱岭关,CVH
0,Carya cathayensis,121.3148349,29.94853378,浙江省宁波市余姚市天目山,CVH
0,Carya cathayensis,105.61403,25.14146,贵州省黔西南布依族苗族自治州安龙县龙山,CVH
0,Carya cathayensis,106.0818106,25.11458972,贵州省黔西南布依族苗族自治州望谟县洛郎村,CVH
0,Carya cathayensis,106.11153,25.36112,贵州省黔西南布依族苗族自治州望谟县老打易,CVH
0,Carya cathayensis,119.4294879,30.34774508,浙江省杭州市临安区西天目山,CVH
0,Carya cathayensis,117.15241,30.00446,安徽省池州市东至县花园,CVH
0,Carya cathayensis,109.7815,29.08315,湖南省湘西土家族苗族自治州永顺县小溪,CVH
0,Carya cathayensis,115.82662,31.58012,安徽省六安市金寨县马岭,CVH
0,Carya cathayensis,119.21459,30.64264,安徽省宣城市广德市七里冲,CVH
0,Carya cathayensis,118.9334224,30.10162169,浙江省杭州市临安区鸠甫村,CVH
0,Carya cathayensis,108.9158193,25.60332476,贵州省黔东南苗族侗族自治州从江县翠里村,CVH
0,Carya cathayensis,119.5844815,30.43646582,浙江省湖州市安吉县上培,CVH
0,Carya cathayensis,118.79164,30.01984,安徽省黄山市歙县三阳村,CVH
0,Carya cathayensis,119.4366823,30.25582486,浙江省杭州市临安区庙前坞,CVH
0,Carya cathayensis,120.0962547,30.2275778,浙江省杭州市西湖区上天竺,CVH
0,Carya cathayensis,120.197834,27.56414875,浙江省温州市平阳县顺溪镇,CVH
0,Carya cathayensis,115.51881,31.85517,河南省信阳市商城县东庄,CVH
0,Carya cathayensis,119.13809,30.08496,浙江省杭州市临安区前坞,CVH
0,Carya cathayensis,120.0892915,30.61782037,浙江省湖州市德清县塘口,CVH
0,Carya cathayensis,115.58622,31.57397,安徽省六安市金寨县竹园,CVH
0,Carya cathayensis,109.41244,26.82489,贵州省黔东南苗族侗族自治州天柱县远口镇,CVH
0,Carya cathayensis,105.6898604,28.45573616,贵州省遵义市赤水市华平,CVH
0,Carya cathayensis,106.28318,23.08842,广西壮族自治区百色市靖西市弄华村,CVH
0,Carya cathayensis,107.17256,24.99715,广西壮族自治区河池市天峨县六排镇,CVH
0,Carya cathayensis,107.19471,24.23209,广西壮族自治区河池市巴马瑶族自治县西山乡,CVH
0,Carya cathayensis,110.7379668,26.27226286,广西壮族自治区桂林市资源县八角寨,CVH
0,Carya cathayensis,121.7984215,28.9654066,浙江省台州市三门县龙塘山,CVH
0,Carya cathayensis,119.40221,29.72405,浙江省杭州市建德市罗村,CVH
0,Carya cathayensis,119.5206515,30.36419334,浙江省杭州市临安区东天目山,CVH
0,Carya cathayensis,109.3731802,24.2400588,广西壮族自治区柳州市柳江区大乐,CVH
0,Carya cathayensis,107.0879011,28.14218562,贵州省遵义市绥阳县九甲,CVH
0,Carya cathayensis,121.5137085,31.14935116,上海市浦东新区华夏西路%26云台路,CVH
0,Carya cathayensis,108.39318,25.37954,广西壮族自治区河池市环江毛南族自治县城皇村,CVH
0,Carya cathayensis,111.09923,26.40518,湖南省永州市东安县张家,CVH
0,Carya cathayensis,108.29855,25.33947,广西壮族自治区河池市环江毛南族自治县下金,CVH
0,Carya cathayensis,106.65622,24.37683,广西壮族自治区百色市凌云县陇浩,CVH
0,Carya cathayensis,118.1651992,30.1394298,安徽省黄山市黄山区黄山,CVH
0,Carya cathayensis,119.6730824,30.50788258,浙江省湖州市安吉县五鹤村,CVH
0,Carya cathayensis,105.57402,25.00532,贵州省黔西南布依族苗族自治州安龙县冗华村,CVH
