species,Longitude,Latitude
Carya cordiformis,-80.6327,25.5516
Carya cordiformis,-82,28
Carya cordiformis,-95.338396,29.341682
Carya cordiformis,-97.80155,29.499967
Carya cordiformis,-84.9833,29.7256
Carya cordiformis,-101.015799,29.834383
Carya cordiformis,-95.442923,29.877663
Carya cordiformis,-84.799665,29.890147
Carya cordiformis,-95.293056,30.026389
Carya cordiformis,-93.13679,30.030618
Carya cordiformis,-95.38858,30.03457
Carya cordiformis,-95.694715,30.083853
Carya cordiformis,-95.384856,30.08497
Carya cordiformis,-94.787885,30.091688
Carya cordiformis,-95.50613,30.145107
Carya cordiformis,-92.019843,30.22409
Carya cordiformis,-84.883083,30.241138
Carya cordiformis,-94.176485,30.248246
Carya cordiformis,-95.320069,30.292431
Carya cordiformis,-85.625531,30.305154
Carya cordiformis,-91.07297,30.352889
Carya cordiformis,-91.15444,30.45056
Carya cordiformis,-84.27767,30.45846
Carya cordiformis,-83.608261,30.481761
Carya cordiformis,-94.697729,30.624725
Carya cordiformis,-94.135451,30.726878
Carya cordiformis,-94.025085,30.743961
Carya cordiformis,-91.355328,30.759739
Carya cordiformis,-91.380556,30.784723
Carya cordiformis,-85.214517,30.790012
Carya cordiformis,-84.658777,30.806665
Carya cordiformis,-91.5,30.833
Carya cordiformis,-94.177079,30.863516
Carya cordiformis,-84.579045,30.87862
Carya cordiformis,-91.487776,30.981459
Carya cordiformis,-92.426343,31.025519
Carya cordiformis,-96.20461,31.03242
Carya cordiformis,-92.04889,31.05778
Carya cordiformis,-92.40028,31.09444
Carya cordiformis,-86.70233,31.16321
Carya cordiformis,-81.3774,31.174217
Carya cordiformis,-84.476986,31.19425
Carya cordiformis,-90.816667,31.2
Carya cordiformis,-89.989721,31.305337
Carya cordiformis,-91.423813,31.341787
Carya cordiformis,-93.146513,31.498199
Carya cordiformis,-93.041397,31.628217
Carya cordiformis,-91.238166,31.716276
Carya cordiformis,-91.175203,31.723397
Carya cordiformis,-88.526963,31.740958
Carya cordiformis,-91.317299,31.747869
Carya cordiformis,-91.403171,31.778158
Carya cordiformis,-89.996871,31.881345
Carya cordiformis,-91.99861,31.89083
Carya cordiformis,-90.171751,31.948223
Carya cordiformis,-88.871548,31.952039
Carya cordiformis,-81.172123,31.979513
Carya cordiformis,-89.886145,31.987727
Carya cordiformis,-90.213335,32.024294
Carya cordiformis,-86.390111,32.027583
Carya cordiformis,-93.801738,32.204481
Carya cordiformis,-90.015908,32.28132
Carya cordiformis,-90.15881,32.29144
Carya cordiformis,-86.681567,32.355571
Carya cordiformis,-96.006394,32.362798
Carya cordiformis,-90.159722,32.371389
Carya cordiformis,-94.855911,32.378937
Carya cordiformis,-94.829453,32.413314
Carya cordiformis,-83.458553,32.419592
Carya cordiformis,-83.559036,32.465567
Carya cordiformis,-92.011539,32.503016
Carya cordiformis,-83.482497,32.50315
Carya cordiformis,-90.7429,32.522
Carya cordiformis,-85.945208,32.5741
Carya cordiformis,-89.808056,32.586111
Carya cordiformis,-80.780833,32.618889
Carya cordiformis,-88.511778,32.691111
Carya cordiformis,-86.4818,32.7071
Carya cordiformis,-80.6763,32.795
Carya cordiformis,-80.4142,32.8
Carya cordiformis,-85.001381,33.037824
Carya cordiformis,-89.1203,33.1188
Carya cordiformis,-80.017222,33.163056
Carya cordiformis,-91.53518,33.237923
Carya cordiformis,-79.561842,33.261598
Carya cordiformis,-79.631819,33.285986
Carya cordiformis,-92.514755,33.307083
Carya cordiformis,-79.09,33.3148
Carya cordiformis,-81.8625,33.316389
Carya cordiformis,-89.08886,33.35276
Carya cordiformis,-97.026703,33.382656
Carya cordiformis,-84.612905,33.383842
Carya cordiformis,-81.967421,33.388912
Carya cordiformis,-80.2837,33.4142
Carya cordiformis,-86.780098,33.437877
Carya cordiformis,-88.81833,33.45028
Carya cordiformis,-80.4708,33.509
Carya cordiformis,-80.502736,33.552202
Carya cordiformis,-82.0984,33.583252
Carya cordiformis,-80.5492,33.5912
Carya cordiformis,-84.164482,33.638979
Carya cordiformis,-95.231752,33.661493
Carya cordiformis,-89.72587,33.713778
Carya cordiformis,-93.844304,33.717033
Carya cordiformis,-95.0813,33.741008
Carya cordiformis,-89.477126,33.74584
Carya cordiformis,-91.801872,33.753678
Carya cordiformis,-80.7076,33.7572
Carya cordiformis,-84.325583,33.774517
Carya cordiformis,-88.849444,33.786111
Carya cordiformis,-95.599778,33.787787
Carya cordiformis,-89.93443,33.79704
Carya cordiformis,-84.472735,33.81846
Carya cordiformis,-84.398532,33.832332
Carya cordiformis,-93.913798,33.875116
Carya cordiformis,-79.4054,33.881
Carya cordiformis,-84.44258,33.882698
Carya cordiformis,-89.917598,33.919475
Carya cordiformis,-88.643611,33.933333
Carya cordiformis,-79.4848,33.9388
Carya cordiformis,-89.001105,33.940184
Carya cordiformis,-81.028088,33.940441
Carya cordiformis,-87.051839,33.941032
Carya cordiformis,-94.73911,33.94948
Carya cordiformis,-93.571142,33.980977
Carya cordiformis,-84.557149,33.991699
Carya cordiformis,-96.122212,34.017424
Carya cordiformis,-91.816923,34.019445
Carya cordiformis,-84.275475,34.043467
Carya cordiformis,-81.197973,34.058927
Carya cordiformis,-93.689905,34.062331
Carya cordiformis,-92.365341,34.071993
Carya cordiformis,-82.669722,34.083889
Carya cordiformis,-84.806805,34.123839
Carya cordiformis,-82.679167,34.127778
Carya cordiformis,-83.983889,34.198165
Carya cordiformis,-82.747222,34.204167
Carya cordiformis,-94.228849,34.207553
Carya cordiformis,-83.824993,34.226704
Carya cordiformis,-93.256913,34.239652
Carya cordiformis,-84.573961,34.240724
Carya cordiformis,-81.332044,34.241662
Carya cordiformis,-89.045306,34.249142
Carya cordiformis,-85.164673,34.257038
Carya cordiformis,-91.335333,34.289677
Carya cordiformis,-90.049556,34.311345
Carya cordiformis,-93.841859,34.312882
Carya cordiformis,-93.533741,34.328967
Carya cordiformis,-87.376305,34.329376
Carya cordiformis,-87.18112,34.34081
Carya cordiformis,-94.042817,34.386685
Carya cordiformis,-82.20528,34.40778
Carya cordiformis,-81.4654,34.4237
Carya cordiformis,-89.790194,34.441137
Carya cordiformis,-91.042964,34.444426
Carya cordiformis,-92.872426,34.445215
Carya cordiformis,-96.626621,34.451944
Carya cordiformis,-93.679333,34.455808
Carya cordiformis,-84.432904,34.466793
Carya cordiformis,-91.552719,34.499566
Carya cordiformis,-96.9414,34.50481
Carya cordiformis,-90.172778,34.507806
Carya cordiformis,-93.043508,34.519557
Carya cordiformis,-94.938054,34.53202
Carya cordiformis,-97.169256,34.545555
Carya cordiformis,-86.74,34.55
Carya cordiformis,-93.631834,34.561793
Carya cordiformis,-92.611018,34.570095
Carya cordiformis,-93.192954,34.572415
