Id,Scientific,Longitude,Latitude,LocalityNa,Source
4041147355,Carya floridana,-81.0028,29.067,"Port Orange, on Martin Diary Rd.Florida,US",GBIF
4018108778,Carya floridana,-81.396744,27.338414,"Florida,US",GBIF
4015287486,Carya floridana,-80.134758,27.067397,"Florida,US",GBIF
3915479125,Carya floridana,-80.118903,26.899325,"Florida,US",GBIF
3873270530,Carya floridana,-80.207321,27.169946,"Florida,US",GBIF
3829920236,Carya floridana,-81.540278,28.000833,"At the corner of Phillips and Rock Point Rd. in degraded remnant scrub immediately W of Lake PierceFlorida,US",GBIF
3773580265,Carya floridana,-81.464661,28.712646,"Florida,US",GBIF
3456604681,Carya floridana,-81.343567,27.358858,"Florida,US",GBIF
3456390438,Carya floridana,-81.315047,27.254305,"Florida,US",GBIF
3059695139,Carya floridana,-80.0744,26.8628,"Nr N edge of Juno Ridge park.Florida,US",GBIF
3014030345,Carya floridana,-81.375994,27.433221,"Florida,US",GBIF
2992838737,Carya floridana,-81.506172,27.570385,"Florida,US",GBIF
2984568877,Carya floridana,-81.482794,27.97277,"Florida,US",GBIF
2826312624,Carya floridana,-81.445508,27.70864,"Florida,US",GBIF
3707750596,Carya floridana,-81.44992,27.46935,"Sebring, 0.2 mi S jct. Hwy. US 27 and Sparta Rd., E side Sparta Rd.Florida,US",GBIF
2252035255,Carya floridana,-81.32894,27.135223,"Florida,US",GBIF
1503259156,Carya floridana,-82,28,"Deep Creek Preserve, Ca. 900 ha on W side of Peace River, ca. 4.5 km NE of junction I-75 and Kings Highway (C-769).Florida,US",GBIF
1930755531,Carya floridana,-80.279615,27.343874,"near Indian River, ca. 4 mi. s. of Ft. Pierce city limit.Florida,US",GBIF
1930123769,Carya floridana,-81.685353,28.852768,"EustisFlorida,US",GBIF
1571692431,Carya floridana,-81.4667,28.1333,"Scrub on left past Marion Creek, Johnson Avenue, Haines City.Florida,US",GBIF
1503296839,Carya floridana,-80.5438,27.3226,"W of intercoastal waterways, off US 1; extreme N part of the county.Florida,US",GBIF
1503289487,Carya floridana,-80.6303,28.1291,"Eau Gallie.Florida,US",GBIF
1503284602,Carya floridana,-82.4319,27.6758,"Little Manatee River Nature Preserve, Ruskin; N of river, W of I-75.Florida,US",GBIF
1503281141,Carya floridana,-81.5494,27.8128,"Crooked Lake Sandhill, Polk County Enbironmental Lands.Florida,US",GBIF
1503275062,Carya floridana,-80.7333,28.2833,"Enchanted Forest Sanctuary (Brevard County preserve); N portion of sanctuary, ca. 1 mi. NW of the junction of US 1 and FL 405, NE of scrub ridge.Florida,US",GBIF
1503271365,Carya floridana,-80.3444,27.4947,"W side of US 1, ca. 200 m N of Euclid Street, Fort Pierce.Florida,US",GBIF
1503242543,Carya floridana,-80.5314,28.0089,"Coconut Point EEL sanctuary, along hiking trail.Florida,US",GBIF
1503240883,Carya floridana,-82.1833,27.4833,"Little Manatee River State Park, Horse trails S of Primitive Youth Camp. T32S, R19E, Sec. 27, NE¼ of SE¼.Florida,US",GBIF
1503236964,Carya floridana,-82.4584,27.9475,"SE of Tampa near gaging station on the Little Manatee River.Florida,US",GBIF
1503235616,Carya floridana,-81.35,27.0667,"Venus ESE Scrub. T39S, R30E, Sec. 19.Florida,US",GBIF
1503224955,Carya floridana,-82.15,27.3333,"Ca. 0.5 mi. S of FL 64; ca. 4 mi. W of Myakka Head. T35S, R22e, Sec. 7, NE¼ of SE¼.Florida,US",GBIF
1503218952,Carya floridana,-80.8205,28.6122,"Along E side of street 0.5 mi. S of Cheney Road, ca. 1.5 mi. SW of Indian River City; ca. 4 mi. S of Titusville.Florida,US",GBIF
1503218138,Carya floridana,-81.5306,27.7459,"Along old roadway, ca. 4.5 mi. SSE of Frostproof. T32S, R28E, Sec. 14, SW¼.Florida,US",GBIF
1503217470,Carya floridana,-81.3628,27.2931,"Lake Placid.Florida,US",GBIF
1503215772,Carya floridana,-82.1401,29.1872,"Ocala National Forest, On FL 19 W of Salt Springs, 10.5 mi. N of junction of FL 19 and Juniper Creek.Florida,US",GBIF
1503205197,Carya floridana,-81.5253,29.1625,"2 mi. S of Astor.Florida,US",GBIF
1503198392,Carya floridana,-82.5173,28.0108,"Corner of Lake Leto Road and FL 17. T34S, R29E, Secs. 6-7.Florida,US",GBIF
1503191371,Carya floridana,-82.5149,27.9263,"Overlooking Lake June-in-Winter; along W side of US 27; 2.4 mi. NNW of Lake Placid. T36S, R29E, Sec. 25, NW¼ of NE¼.Florida,US",GBIF
1503189735,Carya floridana,-81.4,27.3833,"Ca. 1 mi. SW of Kuhlman, just S of Lake Josephine along Lake Josephine Road. T35S, R29E, Sec. 33, NE¼ of SE¼.Florida,US",GBIF
1503178685,Carya floridana,-81.8584,27.2159,"Along W bank of the Peace River, just S of the Hickory Street bridge, Arcadia.Florida,US",GBIF
1503175870,Carya floridana,-80.5373,28.4711,"Surrounding Cape Canaveral Mound. T23S, R37E, Sec. 26.Florida,US",GBIF
1457809895,Carya floridana,-81.58038,27.66942,"Florida,US",GBIF
1457789405,Carya floridana,-82.25,27.333333,"Florida,US",GBIF
1457747437,Carya floridana,-81.44779,27.82321,"Florida,US",GBIF
1304452238,Carya floridana,-81.494469,27.671355,"NE of Avon Park; sand pine scrubby flatwoods.Florida,US",GBIF
1304452216,Carya floridana,-81.71222,29.166187,"off Hwy. 19, 2.9 miles N. of Jct. of Hwy. 40 and 1.2 miles S. of Juniper Springs. E. of road Ocala Natl. Forest.Florida,US",GBIF
1304438993,Carya floridana,-80.66327,28.494601,"4 miles north of Cocoa.Florida,US",GBIF
1304438998,Carya floridana,-82.056665,29.210503,"Small scrubby tree, sand pine-oak scrub, by Fla. Rt. 19, 0.6Florida,US",GBIF
1304438963,Carya floridana,-80.381865,27.708656,"Due west of Wabasso.Florida,US",GBIF
1304438948,Carya floridana,-81.710689,28.763037,"Along Fla. Rt. 40 near Astor in the Ocala National Forest.Florida,US",GBIF
1304438928,Carya floridana,-81.161794,29.046034,"Vic of city hall.Florida,US",GBIF
1257515922,Carya floridana,-81.734055,29.3475,"Ocala National Forest. 0.1 miles on Forest Service Rd. 22, off Hwy. 19, Salt Spring Marina Rd.Florida,US",GBIF
122918788,Carya floridana,-80.5741,27.6964,"Florida,US",GBIF
122917892,Carya floridana,-80.4456,27.3809,"Florida,US",GBIF
161298174,Carya floridana,-80.25782833,27.30046167,"Savannas Preserve State Park, Fort Pierce, FL, US",Inaturalist
159437092,Carya floridana,-81.302355,27.2100647,"Highlands County, US-FL, US",Inaturalist
155927692,Carya floridana,-80.59802547,28.01713602,"Turkey Creek Sanctuary Trails, Palm Bay, FL, US",Inaturalist
154471719,Carya floridana,-81.37391144,27.48447832,"Highlands County, FL, USA",Inaturalist
153141507,Carya floridana,-81.66506043,29.10368742,"Florida, US",Inaturalist
147362562,Carya floridana,-81.57085579,27.48833846,"Florida, US",Inaturalist
139557185,Carya floridana,-80.47532866,27.82228717,"Sebastian, FL, USA",Inaturalist
138780285,Carya floridana,-81.42185603,27.99507792,"Florida, US",Inaturalist
133154078,Carya floridana,-82.25499497,27.60714197,"Duette, FL 34219, USA",Inaturalist
121495518,Carya floridana,-81.22135833,28.92203833,"Providence Blvd, Deltona, FL, US",Inaturalist
121324160,Carya floridana,-80.16915,27.1314945,"Seabranch Preserve State Park, Stuart, FL, US",Inaturalist
3858233088,Carya floridana,-81.349695,27.17953667,"Florida,US",GBIF
109415649,Carya floridana,-81.38065386,27.22098929,"Placid Lakes, FL 33852, USA",Inaturalist
86657439,Carya floridana,-80.87458,28.63708333,"Bear Bluff Rd, Mims, FL, US",Inaturalist
84227515,Carya floridana,-81.7873815,29.14237486,"Florida, US",Inaturalist
81376139,Carya floridana,-81.52776579,27.44302781,"Florida, US",Inaturalist
4011798383,Carya floridana,-80.22387,27.22333,"Florida,US",GBIF
71677630,Carya floridana,-81.47525154,28.49865882,"Bill Frederick Park At Turkey Lake, Orlando, FL, US",Inaturalist
58802194,Carya floridana,-80.36395169,27.53940815,"St Lucie County, FL, USA",Inaturalist
54613987,Carya floridana,-81.40661159,27.53086702,"Highlands County, FL, USA",Inaturalist
52056653,Carya floridana,-81.55062152,28.11432665,"Lake Marion Creek Rd, Haines City, FL 33844, USA",Inaturalist
41057273,Carya floridana,-81.44265947,27.65190614,"Polk County, FL, USA",Inaturalist
37691425,Carya floridana,-81.48661249,27.34138222,"Florida, US",Inaturalist
37629453,Carya floridana,-81.20145527,27.05790996,"Florida, US",Inaturalist
34833891,Carya floridana,-81.39258568,27.65941602,"Polk County, FL, USA",Inaturalist
28115987,Carya floridana,-81.49846649,27.80763054,"Babson Park, FL 33827, USA",Inaturalist
23176348,Carya floridana,-81.49135115,27.52280957,"Highlands County, FL, USA",Inaturalist
13705262,Carya floridana,-80.80052228,28.53094979,"Tortoise Trail, Titusville, FL 32780, USA",Inaturalist
8793498,Carya floridana,-81.652278,29.198295,"Florida, United States",Inaturalist
