species,Longitude,Latitude
Carya glabra,-81.9503,26.8998
Carya glabra,-81.8708,26.9647
Carya glabra,-82.465939,27.171749
Carya glabra,-82.5,27.2
Carya glabra,-81.8584,27.2159
Carya glabra,-82.460472,27.264922
Carya glabra,-82.25728,27.307067
Carya glabra,-82.504058,27.317295
Carya glabra,-81.396889,27.324747
Carya glabra,-81.341,27.3434
Carya glabra,-82.233132,27.352265
Carya glabra,-82.546874,27.354771
Carya glabra,-82.614879,27.362981
Carya glabra,-82.450522,27.402955
Carya glabra,-82.519525,27.445508
Carya glabra,-81.5333,27.4667
Carya glabra,-82.1833,27.4833
Carya glabra,-82.593015,27.489792
Carya glabra,-82.361001,27.500893
Carya glabra,-81.817485,27.507445
Carya glabra,-82.644488,27.519475
Carya glabra,-81.562472,27.551775
Carya glabra,-82.53965,27.555243
Carya glabra,-82.239232,27.602322
Carya glabra,-82.539842,27.603772
Carya glabra,-81.9722,27.6344
Carya glabra,-81.3767,27.6644
Carya glabra,-81.434255,27.711804
Carya glabra,-81.790145,27.762521
Carya glabra,-81.498558,27.80723
Carya glabra,-80.509278,27.831583
Carya glabra,-82.123283,27.835633
Carya glabra,-82.313537,27.838194
Carya glabra,-81.46735,27.83949
Carya glabra,-82.0854,27.8595
Carya glabra,-82.837762,27.8882
Carya glabra,-82.7873,27.9095
Carya glabra,-81.8167,27.9167
Carya glabra,-82.35,27.9167
Carya glabra,-82.3979,27.9392
Carya glabra,-81.863678,27.944868
Carya glabra,-81.488975,27.962235
Carya glabra,-82.9112,27.9651
Carya glabra,-82.700853,27.971574
Carya glabra,-82.8696,27.9849
Carya glabra,-81.854359,27.989818
Carya glabra,-82.4218,27.9911
Carya glabra,-81.597962,27.992992
Carya glabra,-82.784965,27.998549
Carya glabra,-82,28
Carya glabra,-80.601495,28.015536
Carya glabra,-81.9498,28.0395
Carya glabra,-80.590743,28.058704
Carya glabra,-80.910836,28.079064
Carya glabra,-81.551927,28.11431
Carya glabra,-82.0592,28.1157
Carya glabra,-82.740939,28.134709
Carya glabra,-82.227242,28.149722
Carya glabra,-82.3992,28.16
Carya glabra,-82.2833,28.2333
Carya glabra,-82.67786,28.238538
Carya glabra,-82.039706,28.285433
Carya glabra,-81.550768,28.306261
Carya glabra,-80.666,28.3181
Carya glabra,-81.8167,28.35
Carya glabra,-80.781222,28.384741
Carya glabra,-82.232923,28.398849
Carya glabra,-82.65673,28.421131
Carya glabra,-80.7601,28.4322
Carya glabra,-80.718768,28.473052
Carya glabra,-81.750374,28.508705
Carya glabra,-81.3235,28.5144
Carya glabra,-81.66494,28.525037
Carya glabra,-80.802459,28.533236
Carya glabra,-81.358338,28.544671
Carya glabra,-82.41938,28.551974
Carya glabra,-81.260351,28.572333
Carya glabra,-82.168242,28.575049
Carya glabra,-81.8867,28.5783
Carya glabra,-82.372027,28.600594
Carya glabra,-82.470128,28.609491
Carya glabra,-82.138141,28.610272
Carya glabra,-81.054011,28.618905
Carya glabra,-81.130929,28.630733
Carya glabra,-81.717835,28.651744
Carya glabra,-82.511988,28.657939
Carya glabra,-80.876555,28.662588
Carya glabra,-82.1129,28.665
Carya glabra,-81.2081,28.67
Carya glabra,-81.5095,28.6806
Carya glabra,-81.15387,28.685065
Carya glabra,-82.081,28.7048
Carya glabra,-81.469482,28.708954
Carya glabra,-82.572875,28.710594
Carya glabra,-81.293547,28.716862
Carya glabra,-81.2363,28.717
Carya glabra,-81.500669,28.750027
Carya glabra,-81.952958,28.782597
Carya glabra,-80.808757,28.787599
Carya glabra,-81.285063,28.789975
Carya glabra,-81.953155,28.846362
Carya glabra,-81.387689,28.849968
Carya glabra,-82.2,28.85
Carya glabra,-81.685353,28.852768
Carya glabra,-81.294375,28.862428
Carya glabra,-82.133197,28.864743
Carya glabra,-82.621672,28.880928
Carya glabra,-82.381122,28.935389
Carya glabra,-81.222448,28.941331
Carya glabra,-81.33958,28.946904
Carya glabra,-81.337212,28.995342
Carya glabra,-81.43571,29.034927
Carya glabra,-82.464167,29.044722
Carya glabra,-81.0028,29.067
Carya glabra,-81.5781,29.0803
Carya glabra,-82.6315,29.1022
Carya glabra,-81.286832,29.11607
Carya glabra,-98.554893,29.124762
Carya glabra,-83.08528,29.1248
Carya glabra,-98.637716,29.132892
Carya glabra,-81.022833,29.138217
Carya glabra,-82.068611,29.179205
Carya glabra,-81.107977,29.199128
Carya glabra,-83.066401,29.207256
Carya glabra,-81.909147,29.210981
Carya glabra,-81.854,29.247333
Carya glabra,-81.63972,29.248475
Carya glabra,-97.002017,29.277532
Carya glabra,-83.037208,29.29533
Carya glabra,-81.0917,29.3069
Carya glabra,-81.54632,29.310649
Carya glabra,-98.109947,29.321627
Carya glabra,-82.736534,29.323601
Carya glabra,-83.1443,29.3288
Carya glabra,-81.7342,29.3475
Carya glabra,-82.732778,29.359194
Carya glabra,-81.132485,29.388277
Carya glabra,-81.139023,29.4353
Carya glabra,-81.2833,29.45
Carya glabra,-82.305999,29.452913
Carya glabra,-82.859842,29.474962
Carya glabra,-82.976233,29.485197
Carya glabra,-82.319481,29.495416
Carya glabra,-82.61541,29.555519
Carya glabra,-83.187,29.5812
Carya glabra,-82.297364,29.608615
Carya glabra,-82.40876,29.6117
Carya glabra,-82.349992,29.629322
Carya glabra,-81.208998,29.629997
Carya glabra,-82.034049,29.630467
Carya glabra,-85.09681,29.64199
Carya glabra,-82.463064,29.647246
Carya glabra,-82.3106,29.6514
Carya glabra,-81.243442,29.657297
Carya glabra,-82.548583,29.66235
Carya glabra,-82.357654,29.675041
Carya glabra,-82.23785,29.677556
Carya glabra,-82.01548,29.67763
Carya glabra,-81.94178,29.69868
Carya glabra,-82.395037,29.707037
Carya glabra,-82.456745,29.711561
Carya glabra,-81.604377,29.717235
Carya glabra,-81.99504,29.719865
Carya glabra,-81.876608,29.724761
Carya glabra,-82.4248,29.7516
Carya glabra,-95.363272,29.763284
Carya glabra,-81.866667,29.764933
Carya glabra,-82.6167,29.7667
Carya glabra,-81.287261,29.770275
Carya glabra,-81.499092,29.802744
Carya glabra,-84.962618,29.808856
Carya glabra,-82.647582,29.822585
Carya glabra,-81.308401,29.827946
Carya glabra,-81.954108,29.840928
Carya glabra,-92.17751,29.853482
Carya glabra,-82.605225,29.863222
Carya glabra,-82.496106,29.874219
Carya glabra,-95.442923,29.877663
Carya glabra,-84.799665,29.890147
Carya glabra,-91.90137,29.89111
Carya glabra,-81.314459,29.893215
Carya glabra,-82.576937,29.915955
Carya glabra,-81.638322,29.941944
Carya glabra,-85.2,29.95
Carya glabra,-82.953583,29.959467
Carya glabra,-84.444634,29.97373
Carya glabra,-81.562064,29.984044
Carya glabra,-81.328705,29.993013
Carya glabra,-81.6833,30
Carya glabra,-93.13679,30.030618
Carya glabra,-83.07025,30.033715
Carya glabra,-81.712817,30.036731
Carya glabra,-81.559662,30.043403
Carya glabra,-83.602581,30.047704
Carya glabra,-81.503472,30.080561
Carya glabra,-81.798294,30.087703
Carya glabra,-84.35419,30.09255
Carya glabra,-83.225961,30.126914
Carya glabra,-81.65,30.13
Carya glabra,-95.810699,30.150158
Carya glabra,-81.708052,30.159425
Carya glabra,-84.403944,30.170565
Carya glabra,-82.6333,30.1833
Carya glabra,-81.633524,30.187523
Carya glabra,-81.3706,30.1927
Carya glabra,-82.99156,30.196062
Carya glabra,-95.784579,30.203054
Carya glabra,-82.621714,30.223616
Carya glabra,-92.01972,30.22389
Carya glabra,-81.52709,30.232039
Carya glabra,-84.3039,30.2322
Carya glabra,-84.883083,30.241138
Carya glabra,-88.11,30.25
Carya glabra,-81.642921,30.265918
Carya glabra,-93.263907,30.3001
Carya glabra,-81.834463,30.303812
Carya glabra,-85.625531,30.305154
Carya glabra,-93.190256,30.307637
Carya glabra,-81.725689,30.319145
Carya glabra,-84.3514,30.3231
Carya glabra,-86.165,30.3298
Carya glabra,-81.655651,30.332184
Carya glabra,-90.922259,30.353456
Carya glabra,-91.1,30.36
Carya glabra,-87.190268,30.360477
Carya glabra,-81.40117,30.360988
Carya glabra,-87.278662,30.364075
Carya glabra,-88.763433,30.369286
Carya glabra,-88.483219,30.369767
Carya glabra,-88.707336,30.374911
Carya glabra,-87.1289,30.3794
Carya glabra,-81.61444,30.381876
Carya glabra,-81.498211,30.382512
Carya glabra,-84.6167,30.3833
Carya glabra,-81.430123,30.39255
Carya glabra,-88.790695,30.394275
Carya glabra,-84.750554,30.40399
Carya glabra,-88.888027,30.413004
Carya glabra,-84.636703,30.413767
