species,Longitude,Latitude
Carya illinoinensis,-96.5881,16.3189
Carya illinoinensis,-97.782222,16.83333
Carya illinoinensis,-96.475,16.958333
Carya illinoinensis,-96.7467,16.98556
Carya illinoinensis,-96.5,17
Carya illinoinensis,-96.8825,17.276389
Carya illinoinensis,-96.599667,17.95475
Carya illinoinensis,-97.47778,18.18333
Carya illinoinensis,-96.97278,18.63333
Carya illinoinensis,-99.136749,19.272913
Carya illinoinensis,-103.697756,19.405872
Carya illinoinensis,-103.7,19.45
Carya illinoinensis,-98.889444,19.492222
Carya illinoinensis,-103.690833,19.492778
Carya illinoinensis,-96.9,19.533333
Carya illinoinensis,-104.067,19.65
Carya illinoinensis,-97.15,19.7
Carya illinoinensis,-104.43,19.81611
Carya illinoinensis,-100.692047,20.065334
Carya illinoinensis,-103.5954,20.158691
Carya illinoinensis,-99.982998,20.309258
Carya illinoinensis,-100.007115,20.343776
Carya illinoinensis,-100.077645,20.388031
Carya illinoinensis,-98.53333,20.43333
Carya illinoinensis,-98.566667,20.466667
Carya illinoinensis,-99.218333,20.48
Carya illinoinensis,-100.436503,20.512661
Carya illinoinensis,-99.633333,20.516667
Carya illinoinensis,-99.886584,20.531106
Carya illinoinensis,-100.427108,20.543497
Carya illinoinensis,-100.391667,20.591667
Carya illinoinensis,-98.778487,20.594718
Carya illinoinensis,-98.8275,20.615278
Carya illinoinensis,-98.7335953,20.6333606
Carya illinoinensis,-99.902104,20.636918
Carya illinoinensis,-99.538333,20.648333
Carya illinoinensis,-98.629722,20.727778
Carya illinoinensis,-98.605514,20.890401
Carya illinoinensis,-100.744167,20.914167
Carya illinoinensis,-99.933056,20.916389
Carya illinoinensis,-100.789359,21.001879
Carya illinoinensis,-99.706464,21.010136
Carya illinoinensis,-99.730555,21.038889
Carya illinoinensis,-99.813333,21.053333
Carya illinoinensis,-99.873889,21.108056
Carya illinoinensis,-99.526667,21.125
Carya illinoinensis,-99.475,21.141667
Carya illinoinensis,-100.980595,21.178391
Carya illinoinensis,-99.605999,21.195135
Carya illinoinensis,-98.791771,21.2616461
Carya illinoinensis,-100.043367,21.264658
Carya illinoinensis,-100.055556,21.298611
Carya illinoinensis,-99.533333,21.433333
Carya illinoinensis,-100.663333,21.45
Carya illinoinensis,-99.81639,21.5
Carya illinoinensis,-102.35752,21.996665
Carya illinoinensis,-100.4938,22.060608
Carya illinoinensis,-101.002782,22.122229
Carya illinoinensis,-100.500976,22.140522
Carya illinoinensis,-100.548333,22.213056
Carya illinoinensis,-100.608898,22.301103
Carya illinoinensis,-102,23
Carya illinoinensis,-98.143611,23.228611
Carya illinoinensis,-99.383926,23.408568
Carya illinoinensis,-99.1462308,23.7365375
Carya illinoinensis,-99.20785,23.778314
Carya illinoinensis,-100.728672,23.826167
Carya illinoinensis,-104.258053,23.925347
Carya illinoinensis,-104.600834,24.049473
Carya illinoinensis,-99.8625,24.205561
Carya illinoinensis,-99.484771,24.303672
Carya illinoinensis,-104.666389,24.333056
Carya illinoinensis,-99.316667,24.433333
Carya illinoinensis,-98.691667,24.541667
Carya illinoinensis,-100.48306,24.6
Carya illinoinensis,-98.6692467,24.6024323
Carya illinoinensis,-99.016667,24.616667
Carya illinoinensis,-98.8184247,24.6852034
Carya illinoinensis,-99.90647,24.729436
Carya illinoinensis,-104.45,24.783056
Carya illinoinensis,-104.03694,24.78972
Carya illinoinensis,-100.06,24.83
Carya illinoinensis,-105.441667,25.041667
Carya illinoinensis,-100.83306,25.16611
Carya illinoinensis,-100.130556,25.191944
Carya illinoinensis,-99.84222,25.19472
Carya illinoinensis,-104.133056,25.233056
Carya illinoinensis,-100.04348,25.31237
Carya illinoinensis,-103.13306,25.35
Carya illinoinensis,-101.044507,25.351302
Carya illinoinensis,-101.017437,25.382842
Carya illinoinensis,-101.45,25.383056
Carya illinoinensis,-102.183056,25.416389
Carya illinoinensis,-101.009018,25.424273
Carya illinoinensis,-100.114472,25.432962
Carya illinoinensis,-101.094004,25.453657
Carya illinoinensis,-101.006013,25.456159
Carya illinoinensis,-100.85,25.466389
Carya illinoinensis,-106.608333,25.475
Carya illinoinensis,-99.583,25.5
Carya illinoinensis,-100.1992,25.523317
Carya illinoinensis,-103.533056,25.533056
Carya illinoinensis,-100.96639,25.55
Carya illinoinensis,-100.276931,25.588497
Carya illinoinensis,-100.328941,25.643421
Carya illinoinensis,-100.262642,25.660558
Carya illinoinensis,-100.361017,25.665138
Carya illinoinensis,-100.21769,25.678701
Carya illinoinensis,-100.445042,25.691011
Carya illinoinensis,-100.250278,25.701204
Carya illinoinensis,-99.708333,25.708333
Carya illinoinensis,-100.311683,25.724363
Carya illinoinensis,-100.521636,25.726509
Carya illinoinensis,-100.183883,25.748792
Carya illinoinensis,-100.279622,25.758733
Carya illinoinensis,-100.245696,25.800038
Carya illinoinensis,-100.5,25.85
Carya illinoinensis,-100.261854,25.865557
Carya illinoinensis,-97.505469,25.922507
Carya illinoinensis,-97.475063,26.080159
Carya illinoinensis,-100.283186,26.083491
Carya illinoinensis,-97.71538,26.101191
Carya illinoinensis,-97.643052,26.107807
Carya illinoinensis,-97.958457,26.122999
Carya illinoinensis,-97.626708,26.14879
Carya illinoinensis,-97.991317,26.14883
Carya illinoinensis,-97.714298,26.149002
Carya illinoinensis,-97.794207,26.161613
Carya illinoinensis,-98.330554,26.182628
Carya illinoinensis,-98.112001,26.183989
Carya illinoinensis,-98.192375,26.189751
Carya illinoinensis,-98.212648,26.229516
Carya illinoinensis,-97.562684,26.266852
Carya illinoinensis,-98.188662,26.286753
Carya illinoinensis,-97.950775,26.308455
Carya illinoinensis,-98.307284,26.314062
Carya illinoinensis,-97.501817,26.323453
Carya illinoinensis,-100.4,26.43
Carya illinoinensis,-98.013521,26.446126
Carya illinoinensis,-100.424514,26.4959
Carya illinoinensis,-100.5,26.533056
Carya illinoinensis,-101.433056,26.783056
Carya illinoinensis,-100.666389,26.833056
Carya illinoinensis,-101.41639,26.9
Carya illinoinensis,-101.583333,26.9
Carya illinoinensis,-102.83306,26.95
Carya illinoinensis,-106.35,26.95
Carya illinoinensis,-107.619444,27.116944
Carya illinoinensis,-107.565556,27.157222
Carya illinoinensis,-101.6,27.166111
Carya illinoinensis,-101.937744,27.197845
Carya illinoinensis,-102.401778,27.313606
Carya illinoinensis,-101.8,27.333056
Carya illinoinensis,-97.282579,27.458101
Carya illinoinensis,-99.533711,27.481958
Carya illinoinensis,-99.530123,27.582945
Carya illinoinensis,-100.733056,27.616389
Carya illinoinensis,-97.197794,27.62353
Carya illinoinensis,-97.17348,27.66652
Carya illinoinensis,-105.179,27.7
Carya illinoinensis,-97.411809,27.783109
Carya illinoinensis,-101.123206,27.838765
Carya illinoinensis,-101.51389,27.87694
Carya illinoinensis,-97.319014,27.877749
Carya illinoinensis,-108.633056,27.883056
Carya illinoinensis,-101.26965,27.90706
Carya illinoinensis,-103.697092,27.977078
Carya illinoinensis,-101.716389,28
Carya illinoinensis,-97.861421,28.110971
Carya illinoinensis,-105.490251,28.198497
Carya illinoinensis,-100.71639,28.25
Carya illinoinensis,-105.484525,28.258915
Carya illinoinensis,-98.575,28.341667
Carya illinoinensis,-97.432287,28.651216
Carya illinoinensis,-106.086162,28.652175
Carya illinoinensis,-100.543524,28.668105
Carya illinoinensis,-97.388326,28.668325
Carya illinoinensis,-100.50548,28.702501
Carya illinoinensis,-97.175735,28.71402
Carya illinoinensis,-100.91667,28.71667
Carya illinoinensis,-97.030051,28.763716
Carya illinoinensis,-105.962609,28.777268
Carya illinoinensis,-97.020679,28.812784
Carya illinoinensis,-96.963014,28.823334
Carya illinoinensis,-95.664677,28.835257
Carya illinoinensis,-97.070745,28.848394
Carya illinoinensis,-100.724993,28.861008
Carya illinoinensis,-97.026638,28.86604
Carya illinoinensis,-99.090875,28.883883
Carya illinoinensis,-95.839773,28.885454
Carya illinoinensis,-95.580166,28.907953
Carya illinoinensis,-95.3021,28.932469
Carya illinoinensis,-96.195537,28.9665
Carya illinoinensis,-98.103732,28.970851
Carya illinoinensis,-95.56782,28.978565
Carya illinoinensis,-96.0101,28.982695
Carya illinoinensis,-95.648206,28.999714
Carya illinoinensis,-95.489494,29.004642
Carya illinoinensis,-95.419722,29.0425
Carya illinoinensis,-95.506863,29.055819
Carya illinoinensis,-95.716358,29.059862
Carya illinoinensis,-100.66685,29.06679
Carya illinoinensis,-99.851278,29.067939
Carya illinoinensis,-95.428673,29.076238
Carya illinoinensis,-98.16194,29.09778
Carya illinoinensis,-100.917778,29.101111
Carya illinoinensis,-95.673947,29.112708
Carya illinoinensis,-96.060363,29.153664
Carya illinoinensis,-95.6119,29.164136
Carya illinoinensis,-95.503822,29.165151
Carya illinoinensis,-95.511036,29.203489
Carya illinoinensis,-99.786167,29.209683
Carya illinoinensis,-98.26236,29.215777
Carya illinoinensis,-98.657086,29.218798
Carya illinoinensis,-98.892008,29.221928
Carya illinoinensis,-98.548263,29.245
Carya illinoinensis,-100.964714,29.251516
Carya illinoinensis,-98.746546,29.257153
Carya illinoinensis,-98.582631,29.270141
Carya illinoinensis,-103.370345,29.279248
Carya illinoinensis,-100.419732,29.280834
Carya illinoinensis,-97.160494,29.283386
Carya illinoinensis,-98.318884,29.284382
Carya illinoinensis,-99.648625,29.292361
Carya illinoinensis,-94.795747,29.293
Carya illinoinensis,-100.916389,29.3
Carya illinoinensis,-95.268244,29.302075
Carya illinoinensis,-98.812904,29.315601
Carya illinoinensis,-98.447881,29.317778
Carya illinoinensis,-95.785453,29.321422
Carya illinoinensis,-100.955875,29.328731
Carya illinoinensis,-100.683056,29.333056
Carya illinoinensis,-98.883415,29.338162
Carya illinoinensis,-98.46556,29.34611
Carya illinoinensis,-98.591317,29.355982
Carya illinoinensis,-95.589044,29.37603
Carya illinoinensis,-95.080276,29.382912
Carya illinoinensis,-98.420552,29.384579
Carya illinoinensis,-98.491046,29.390782
Carya illinoinensis,-95.166512,29.39769
Carya illinoinensis,-98.613083,29.411833
Carya illinoinensis,-98.545789,29.413508
Carya illinoinensis,-98.42305,29.422223
Carya illinoinensis,-95.240158,29.423563
Carya illinoinensis,-98.493332,29.423889
Carya illinoinensis,-95.868853,29.426398
Carya illinoinensis,-97.329855,29.429469
Carya illinoinensis,-98.520023,29.448959
Carya illinoinensis,-96.94165,29.451337
Carya illinoinensis,-95.420335,29.454179
Carya illinoinensis,-98.463768,29.457102
Carya illinoinensis,-99.698108,29.471073
Carya illinoinensis,-98.579111,29.475636
Carya illinoinensis,-95.175073,29.479936
Carya illinoinensis,-95.756308,29.48074
Carya illinoinensis,-98.480398,29.48245
Carya illinoinensis,-98.650793,29.483225
Carya illinoinensis,-98.157677,29.490062
Carya illinoinensis,-94.912868,29.49075
Carya illinoinensis,-95.54723,29.493103
Carya illinoinensis,-98.420868,29.49419
Carya illinoinensis,-98.223368,29.503991
Carya illinoinensis,-98.50965,29.508575
Carya illinoinensis,-98.617339,29.519694
Carya illinoinensis,-95.802314,29.521385
Carya illinoinensis,-98.336387,29.521915
Carya illinoinensis,-95.082281,29.530686
Carya illinoinensis,-95.568047,29.53227
Carya illinoinensis,-98.524605,29.53604
Carya illinoinensis,-98.729828,29.53623
Carya illinoinensis,-99.714409,29.536419
Carya illinoinensis,-104.475605,29.543823
Carya illinoinensis,-98.233305,29.549092
Carya illinoinensis,-98.639243,29.551487
Carya illinoinensis,-97.219256,29.552837
Carya illinoinensis,-97.963853,29.556972
Carya illinoinensis,-98.558313,29.557632
Carya illinoinensis,-94.38928,29.559535
