species,Longitude,Latitude
Carya laciniosa,-90.515542,31.86032
Carya laciniosa,-86.173001,32.256866
Carya laciniosa,-86.47,32.33
Carya laciniosa,-89.872275,32.530342
Carya laciniosa,-94.185788,32.691269
Carya laciniosa,-88.268247,32.882941
Carya laciniosa,-88.251143,33.050893
Carya laciniosa,-88.523889,33.098333
Carya laciniosa,-88.816084,33.403737
Carya laciniosa,-88.955872,33.403885
Carya laciniosa,-88.643937,33.415399
Carya laciniosa,-88.78333,33.45139
Carya laciniosa,-88.849444,33.786111
Carya laciniosa,-88.643611,33.933333
Carya laciniosa,-86.99,34
Carya laciniosa,-86.134722,34.014444
Carya laciniosa,-93.674205,34.03274
Carya laciniosa,-87.361667,34.225
Carya laciniosa,-85.254271,34.322289
Carya laciniosa,-87.30052,34.47833
Carya laciniosa,-91.102599,34.580652
Carya laciniosa,-86.463791,34.644489
Carya laciniosa,-86.474092,34.875692
Carya laciniosa,-92.137687,34.907328
Carya laciniosa,-90.1413,34.9768
Carya laciniosa,-92.744054,35.155689
Carya laciniosa,-93.15376,35.30296
Carya laciniosa,-90.261361,35.372698
Carya laciniosa,-94.423972,35.405688
Carya laciniosa,-93.015184,35.602545
Carya laciniosa,-89.689897,35.625807
Carya laciniosa,-89.864956,35.790584
Carya laciniosa,-90.00808,35.79232
Carya laciniosa,-78.840161,35.804429
Carya laciniosa,-95.466667,35.833333
Carya laciniosa,-78.858017,35.862223
Carya laciniosa,-78.80557,35.920027
Carya laciniosa,-85.814152,35.960619
Carya laciniosa,-78.971845,35.960974
Carya laciniosa,-78.817339,35.964501
Carya laciniosa,-80.38218,36.037519
Carya laciniosa,-90.663104,36.0433
Carya laciniosa,-86.544846,36.096306
Carya laciniosa,-86.8345,36.10566
Carya laciniosa,-86.75,36.1667
Carya laciniosa,-86.642587,36.187745
Carya laciniosa,-84.067974,36.195634
Carya laciniosa,-90.870588,36.259659
Carya laciniosa,-82.956273,36.353986
Carya laciniosa,-87.296667,36.439722
Carya laciniosa,-90.075,36.493333
Carya laciniosa,-87.368277,36.608254
Carya laciniosa,-87.270487,36.613408
Carya laciniosa,-90.823333,36.620833
Carya laciniosa,-89.285278,36.644444
Carya laciniosa,-95.90437,36.715236
Carya laciniosa,-88.1227,36.7338
Carya laciniosa,-90.323611,36.889167
Carya laciniosa,-88.036371,36.897918
Carya laciniosa,-90.910346,37.016194
Carya laciniosa,-95.05686,37.01825
Carya laciniosa,-95.02029,37.0484
Carya laciniosa,-94.1166,37.0692
Carya laciniosa,-96.0136,37.07368
Carya laciniosa,-94.664,37.0882
Carya laciniosa,-89.018057,37.141705
Carya laciniosa,-94.846269,37.169306
Carya laciniosa,-95.742943,37.192343
Carya laciniosa,-95.221728,37.281629
Carya laciniosa,-95.083333,37.333333
Carya laciniosa,-89.53717,37.337299
Carya laciniosa,-89.071594,37.341935
Carya laciniosa,-88.913543,37.355127
Carya laciniosa,-77.61,37.446667
Carya laciniosa,-88.91007,37.4541
Carya laciniosa,-84.244614,37.477151
Carya laciniosa,-84.328844,37.491653
Carya laciniosa,-89.58395,37.496553
Carya laciniosa,-95.65573,37.5085
Carya laciniosa,-89.425017,37.515329
Carya laciniosa,-89.549273,37.520825
Carya laciniosa,-89.253418,37.531439
Carya laciniosa,-95.24319,37.5343
Carya laciniosa,-89.439331,37.546783
Carya laciniosa,-95.744316,37.55954
Carya laciniosa,-89.439902,37.583303
Carya laciniosa,-89.072084,37.617433
Carya laciniosa,-94.73664,37.6179
Carya laciniosa,-89.201366,37.625061
Carya laciniosa,-94.68794,37.64197
Carya laciniosa,-89.222863,37.688398
Carya laciniosa,-89.487495,37.728066
Carya laciniosa,-88.346736,37.753088
Carya laciniosa,-95.44585,37.79606
Carya laciniosa,-84.236888,37.80797
Carya laciniosa,-95.532595,37.827405
Carya laciniosa,-94.763391,37.861499
Carya laciniosa,-89.173697,37.881439
Carya laciniosa,-88.3881,37.8835
Carya laciniosa,-84.268333,37.90056
Carya laciniosa,-89.766221,37.947808
Carya laciniosa,-89.067478,37.948238
Carya laciniosa,-89.222598,37.999355
Carya laciniosa,-98,38
Carya laciniosa,-84.530078,38.012591
Carya laciniosa,-84.51119,38.058806
Carya laciniosa,-83.74798,38.060544
Carya laciniosa,-84.392047,38.073055
Carya laciniosa,-92.523889,38.087778
Carya laciniosa,-85.066619,38.11586
Carya laciniosa,-93.544167,38.180556
Carya laciniosa,-95.74276,38.21621
Carya laciniosa,-84.361024,38.245666
Carya laciniosa,-95.15906,38.27904
Carya laciniosa,-88.191308,38.294053
Carya laciniosa,-84.356842,38.325895
Carya laciniosa,-95.13885,38.36643
Carya laciniosa,-94.659716,38.392503
Carya laciniosa,-94.79099,38.41879
Carya laciniosa,-88.1904,38.43
Carya laciniosa,-92.219722,38.431945
Carya laciniosa,-90.8122,38.4328
Carya laciniosa,-94.75418,38.44186
Carya laciniosa,-89.915057,38.4685
Carya laciniosa,-90.741389,38.481945
Carya laciniosa,-89.7932,38.4903
Carya laciniosa,-90.675833,38.503611
Carya laciniosa,-90.5886,38.5072
Carya laciniosa,-90.259722,38.611111
Carya laciniosa,-95.28631,38.61557
Carya laciniosa,-95.08358,38.62304
Carya laciniosa,-88.861909,38.649766
Carya laciniosa,-93.314167,38.65
Carya laciniosa,-85.473571,38.714226
Carya laciniosa,-93.73583,38.76278
Carya laciniosa,-84.1296,38.7898
Carya laciniosa,-93.739753,38.806094
Carya laciniosa,-95.19274,38.80859
Carya laciniosa,-83.810348,38.878355
Carya laciniosa,-77.0306,38.8892
Carya laciniosa,-95.1957,38.94091
Carya laciniosa,-92.31361,38.944452
Carya laciniosa,-90.943812,39.006656
Carya laciniosa,-83.4313,39.0237
Carya laciniosa,-84.372362,39.037139
Carya laciniosa,-78.052969,39.060702
Carya laciniosa,-94.600747,39.061775
Carya laciniosa,-87.8,39.0833
Carya laciniosa,-84.663515,39.102775
Carya laciniosa,-92.41194,39.125
Carya laciniosa,-90.44,39.13
Carya laciniosa,-84.516942,39.138808
Carya laciniosa,-84.549805,39.171967
Carya laciniosa,-96.571669,39.183608
Carya laciniosa,-84.297862,39.260503
Carya laciniosa,-86.565884,39.282273
Carya laciniosa,-84.384595,39.289653
Carya laciniosa,-84.688777,39.293288
Carya laciniosa,-82.107202,39.31777
Carya laciniosa,-82.217926,39.325071
Carya laciniosa,-82.015454,39.336208
Carya laciniosa,-95.40407,39.34094
Carya laciniosa,-82.276917,39.348817
Carya laciniosa,-93.0531,39.3883
Carya laciniosa,-78.90083,39.393392
Carya laciniosa,-84.100905,39.398113
Carya laciniosa,-82.225883,39.4016
Carya laciniosa,-84.066984,39.481234
Carya laciniosa,-92.67277,39.49416
Carya laciniosa,-84.75,39.5
Carya laciniosa,-78.76863,39.503146
Carya laciniosa,-85.98333,39.516666
Carya laciniosa,-82.079618,39.548117
Carya laciniosa,-84.746497,39.581366
Carya laciniosa,-93.230639,39.582861
Carya laciniosa,-84.096792,39.621486
Carya laciniosa,-79.955897,39.629526
Carya laciniosa,-92.492778,39.715833
Carya laciniosa,-89.715507,39.719802
Carya laciniosa,-79.992263,39.744343
Carya laciniosa,-86.000342,39.795944
Carya laciniosa,-84.88833,39.80055
Carya laciniosa,-86.937169,39.822497
Carya laciniosa,-77.903332,39.82787
Carya laciniosa,-77.804505,39.856925
Carya laciniosa,-89.615117,39.871156
Carya laciniosa,-86.983899,39.872872
Carya laciniosa,-77.90062,39.923844
Carya laciniosa,-76.068841,39.926215
Carya laciniosa,-78.563254,39.956296
Carya laciniosa,-83.248292,39.972995
Carya laciniosa,-77.958082,39.977758
Carya laciniosa,-88.66102,39.988778
Carya laciniosa,-86.874452,40.041154
Carya laciniosa,-84.535362,40.072267
Carya laciniosa,-88.239628,40.093587
Carya laciniosa,-83.084457,40.100044
Carya laciniosa,-78.558769,40.101246
Carya laciniosa,-88.212983,40.12706
Carya laciniosa,-76.432714,40.149951
Carya laciniosa,-86.551945,40.172258
Carya laciniosa,-75.790758,40.188985
