species,Longitude,Latitude
Carya ovata,-97.083,18.781
Carya ovata,-97.151567,18.816753
Carya ovata,-96.571667,19.358333
Carya ovata,-97.1,19.633333
Carya ovata,-97.208333,19.641667
Carya ovata,-96.94703,19.650311
Carya ovata,-97.161667,19.664167
Carya ovata,-97.15,19.7
Carya ovata,-97.05,19.716667
Carya ovata,-101.038333,19.823333
Carya ovata,-98.109328,20.247528
Carya ovata,-98.536249,20.652111
Carya ovata,-98.706667,20.74
Carya ovata,-101.457222,20.913889
Carya ovata,-99.67316,21.14793
Carya ovata,-99.558503,21.165036
Carya ovata,-99.473333,21.221667
Carya ovata,-99.141389,21.231667
Carya ovata,-99.61,21.268333
Carya ovata,-100.055556,21.298611
Carya ovata,-97.833055,21.330278
Carya ovata,-100.133333,21.383333
Carya ovata,-99.062777,21.392987
Carya ovata,-99.276111,21.413333
Carya ovata,-99.130389,21.452556
Carya ovata,-99.17,21.511667
Carya ovata,-100.3425,21.893056
Carya ovata,-100.8,21.92
Carya ovata,-102.285555,21.978056
Carya ovata,-100.532937,21.988245
Carya ovata,-100.610818,22.032262
Carya ovata,-100.614636,22.060777
Carya ovata,-99.505806,22.225845
Carya ovata,-100.848056,22.445
Carya ovata,-100.420378,22.643978
Carya ovata,-100.177978,23.016422
Carya ovata,-99.190555,23.030278
Carya ovata,-99.267222,23.042383
Carya ovata,-99.208333,23.058333
Carya ovata,-99.225,23.091667
Carya ovata,-99.174722,23.099167
Carya ovata,-99.225,23.141667
Carya ovata,-99.172289,23.156758
Carya ovata,-99.685,23.213333
Carya ovata,-98.143611,23.228611
Carya ovata,-97.82,23.28
Carya ovata,-101.2301687,23.4560981
Carya ovata,-99.207181,23.613481
Carya ovata,-99.267708,23.691879
Carya ovata,-99.375556,23.843333
Carya ovata,-99.733333,23.966667
Carya ovata,-99.48,23.98
Carya ovata,-99.583333,24
Carya ovata,-99.466908,24.019694
Carya ovata,-99.725217,24.026165
Carya ovata,-99.939237,24.243946
Carya ovata,-98.57667,24.315
Carya ovata,-98.8251144,24.3304029
Carya ovata,-99.109133,24.35093
Carya ovata,-98.96,24.525
Carya ovata,-98.96167,24.56056
Carya ovata,-99.965478,24.579489
Carya ovata,-98.68,24.61
Carya ovata,-99.99,24.61
Carya ovata,-98.99,24.622222
Carya ovata,-98.873055,24.651389
Carya ovata,-100.136206,24.686094
