Id,Scientific,Longitude,Latitude,LocalityNa,Source
930741478,Carya pallida,-88.15657,36.95134,"Star Camp picnic area, Land Between The LakesKentucky,US",GBIF
623648052,Carya pallida,-86.116181,31.274509,"By AL 134, 1.6 mi E PerryAlabama,US",GBIF
574740113,Carya pallida,-82.564,35.496694,"Blue Ridge HighwayNorth Carolina,US",GBIF
4088568045,Carya pallida,-88.724041,31.698053,"Powerline north of Old U.S. 84Mississippi,US",GBIF
4088565434,Carya pallida,-88.766516,31.460882,"Gopher Farm Sandhill, DeSoto National ForestMississippi,US",GBIF
4088559774,Carya pallida,-89.17074,31.207854,"Camp ShelbyMississippi,US",GBIF
4088559349,Carya pallida,-89.68986,33.705005,"Camp McCain, area 3B, vic. of hill for helicopter landings; T21N, R6E, S5 SE4Mississippi,US",GBIF
4067740359,Carya pallida,-75.942716,38.96678,"Tuckahoe State ParkMaryland,US",GBIF
4067739300,Carya pallida,-76.617071,39.085088,"Old Orchard Circle, Pointfield Landing, Atlantic Coastal Plain, Western ShoreMaryland,US",GBIF
4060926894,Carya pallida,-77.61916,35.25972,"On Neuse River, at boatramps off Rt. 70 ca. 2 mi W of Kinston. Coastal plain.North Carolina,US",GBIF
4061504641,Carya pallida,-83.45,34.5,"Currahee Mountain, 4 miles SW of Toccoa.Georgia,US",GBIF
4042875523,Carya pallida,-83.27,34.3,"""Stephens Co.,Georgia"",US",GBIF
4041123496,Carya pallida,-76.7742,39.1623,"N. of Baltimore Airport.Maryland,US",GBIF
4010715075,Carya pallida,-78.14816,37.045433,"Nottoway Falls Park, ca. 5.2 miles NE of Victoria. Slope above the falls, < 0.1 mi. SE of the Rt 49 bridge.Virginia,US",GBIF
3960434316,Carya pallida,-85.4316,35.0897,"Chattanooga, Davis pond Rd. At jct with Tower Dr.Tennessee,US",GBIF
3925842797,Carya pallida,-88.900334,33.987055,"Nearest post office; Van Vleet.Mississippi,US",GBIF
3925842799,Carya pallida,-88.904299,33.906864,"Ca 1 mi N of Van Vleet near Natchez Trace. T13S, R4E, S32.Mississippi,US",GBIF
3925842794,Carya pallida,-88.688932,32.095148,"Clarkco State Park.Mississippi,US",GBIF
3925842792,Carya pallida,-88.88821,33.746768,"T15S, R4E, S28, W2, S21, SW4, 3.25 mi NE of Montpelier.Mississippi,US",GBIF
3925843787,Carya pallida,-89.477126,33.74584,"Ca 1.25 mi S of MS Hwy 8 and 1.6 mi E of Grenada Co. T22N, R8E, S29, SW4.Mississippi,US",GBIF
3925842783,Carya pallida,-89.292,33.883,"Ca 2 mi N of Derma near Oak Springs Church & Cemetary. T14S, R1W, S10, NW/4 of the NW/4. Northcentral Hills physiographic region.Mississippi,US",GBIF
3925842776,Carya pallida,-89.58861,34.27222,"Taylor.Mississippi,US",GBIF
3925842775,Carya pallida,-89.535024,34.365806,"Lyceum Grove opposite Bryant Hall. UM CampusMississippi,US",GBIF
3925842771,Carya pallida,-88.569505,34.008494,"Vicinity of Central Grove; Cedar Prairie woodland on Peacely Ferry Rd at ca 1.1 mi E of jct w/Central Grove Rd. T12S R7E sec 28 SW/4.Mississippi,US",GBIF
3925842770,Carya pallida,-89.466468,34.656766,"Wall Doxey State Park.Mississippi,US",GBIF
3925842769,Carya pallida,-88.417328,30.865802,"1 mi NW of Miss-Alabama St line.Mississippi,US",GBIF
3925842762,Carya pallida,-90.261944,31.871511,"5.7 mi W of GeorgetownMississippi,US",GBIF
3925842761,Carya pallida,-89.458924,31.687007,"5 miS of Hot Coffee Hwy 37 & 84Mississippi,US",GBIF
3925842755,Carya pallida,-89.672851,32.320146,"Roosevelt State Park, 3 mi SW of Morton.Mississippi,US",GBIF
3925842754,Carya pallida,-89.993672,31.886517,"Ca 2.5 mi W of Pinola on Hwy 28 (0.4 mi W of Strong River).Mississippi,US",GBIF
3925842749,Carya pallida,-90.018415,31.823189,"Ca 5 mi SW of Pinola on Cowhill rd 0.4 mi N of Shivers Lookout Tower. T10N, R20W, S21, NW4, SE4.Mississippi,US",GBIF
3925842747,Carya pallida,-88.20921,34.45179,"Ca 4 mi S Belmont, SE1/4, S14.Mississippi,US",GBIF
3925842745,Carya pallida,-89.909128,33.974575,"1 mi SW of Tillatoba; ca 0.5 mi W of US Hwy 51 on Co Rd 9. T24N, R4E, section line of S6 & 7.Mississippi,US",GBIF
3925842740,Carya pallida,-89.081902,31.20547,"Miles Branch Rec Area, W of New Augusta, nr Leaf River.Mississippi,US",GBIF
3925842739,Carya pallida,-90.513177,31.192455,"Percy Quinn State Park, 5 mi SW of McComb.Mississippi,US",GBIF
3925842715,Carya pallida,-88.679983,33.484567,"T19N, R15E, S25, on Hwy 182, on N side of the rd, Black Prairie Region, just W of Co line, Sand Hickory.Mississippi,US",GBIF
3925842700,Carya pallida,-90.45754,31.516196,"Nr Bogue Chitto River, Hwy 51.Mississippi,US",GBIF
3925842697,Carya pallida,-89.170658,31.030719,"Around the edge of Ashe Lake at Brooklyn.Mississippi,US",GBIF
3925842690,Carya pallida,-89.527024,33.893726,"Behind Dividing Ridge Church.Mississippi,US",GBIF
3925842689,Carya pallida,-89.620863,33.874529,"1.7 mi E on CR 144, T23N, R6E, S12.Mississippi,US",GBIF
3925842639,Carya pallida,-90.844329,31.166682,"Ethel S. Vance Natural Area, a few mi W of Liberty on MS 24 nr the West Fork Amite River. T2N R4E sec 6 S/2 SE/4Mississippi,US",GBIF
3925843690,Carya pallida,-89.236181,33.891501,"Ca 3mi W of Vardaman from large tree ca 100 m SE of New Liberty Church.Mississippi,US",GBIF
3925842637,Carya pallida,-89.432604,33.778989,"Ca 9 mi SW of Calhoun City on S side of Hwy 8. T22N, R8E, S12(?).Mississippi,US",GBIF
3925841801,Carya pallida,-85.61299,34.49025,"Desoto/Little River Canyon, along roadway leading to cabins & trails.Alabama,US",GBIF
3925832301,Carya pallida,-89.5265,33.6985,"ca 6 mi SE of Gore Springs, North Central Plateau; ridgetop adj to N-facing slope; also near base of N-facing slope in somewhat richer soilMississippi,US",GBIF
3899130860,Carya pallida,-89.26048,33.41565,"Jeff Busby Park, Little Mountain trails.Mississippi,US",GBIF
3873750534,Carya pallida,-88.117576,36.730153,"Kentucky,US",GBIF
3873720525,Carya pallida,-82.876182,35.944716,"North Carolina,US",GBIF
3865401263,Carya pallida,-74.747994,39.199999,"E of DennisvilleNew Jersey,US",GBIF
3865400236,Carya pallida,-75.331304,39.37928,"Lanings WharfNew Jersey,US",GBIF
3865399294,Carya pallida,-74.654666,39.258076,"SW of MarmoraNew Jersey,US",GBIF
3865397259,Carya pallida,-75.131565,39.867891,"WestvilleNew Jersey,US",GBIF
3865396185,Carya pallida,-75.599369,38.360674,"Salisbury; 38.360674 -75.599369Maryland,US",GBIF
3865392128,Carya pallida,-75.385473,38.690113,"near GeorgetownDelaware,US",GBIF
3865131112,Carya pallida,-75.309914,38.777612,"MiltonDelaware,US",GBIF
3865129206,Carya pallida,-75.063295,39.486221,"2 miles W of VinelandNew Jersey,US",GBIF
3865129207,Carya pallida,-74.820318,39.19337,"DennisvilleNew Jersey,US",GBIF
3865128171,Carya pallida,-75.189558,39.831838,"West DeptfordNew Jersey,US",GBIF
3865125146,Carya pallida,-74.883995,39.226891,"near East Creek Pond, East CreekNew Jersey,US",GBIF
3829941033,Carya pallida,-90.057483,31.641708,"Crooked Creek. S.B. Culpepper farm 5 mi W of Newhebron, MS.Mississippi,US",GBIF
3829941031,Carya pallida,-88.18987,34.614005,"Bear Creek, Tishomingo State ParkMississippi,US",GBIF
3829941029,Carya pallida,-89.732211,34.347317,"6 mi SE of Sardis DamMississippi,US",GBIF
3829941024,Carya pallida,-88.516136,31.996606,"Buckatunna Creek. 1 mi SE of Denham, MSMississippi,US",GBIF
3829941022,Carya pallida,-90.404103,31.397548,"Walter McGuffie place, 2 mi SE of Bouge Chitto.Mississippi,US",GBIF
3829941016,Carya pallida,-91.02177,31.284486,"6 mi N of Gloster, MSMississippi,US",GBIF
3829949550,Carya pallida,-89.711803,34.641669,"Near Thyatira, 1 mi W of Wyatte, MSMississippi,US",GBIF
3829941011,Carya pallida,-89.20952,34.945262,"Along MS Rte. 72Mississippi,US",GBIF
3829938823,Carya pallida,-88.626128,33.450719,"In Black Prairie Region, 9 miles east of State College.Mississippi,US",GBIF
3829941014,Carya pallida,-88.52,30.8075,"Wyatt Hills, Black CreekMississippi,US",GBIF
3829941030,Carya pallida,-89.5875,33.114968,"Four Mile Spring. Ca. 4 mi N of P.O. Kosciusko, MSMississippi,US",GBIF
3829939026,Carya pallida,-87.541621,35.068383,"Along crest of mountain between Lane Gap and Mt. Nebo. Elev 2000 ft.Tennessee,US",GBIF
3829917105,Carya pallida,-88.882972,33.433002,"Mississippi,US",GBIF
3829914492,Carya pallida,-88.771355,33.556057,"Near Trim Cane Creek, in Black Prairie Region, 6 mi. north of Starkville.Mississippi,US",GBIF
3766334280,Carya pallida,-85.47657,32.54865,"CHEWACLA STATE PARK. ALONG DEER RUB TRAIL CA. 225 FT SSE OF PAVILION AT WEST END OF LARGE LAWN, END OF MURPHY DRIVE LOOP.Alabama,US",GBIF
3766334270,Carya pallida,-86.707742,31.161735,"SOLON DIXON FORESTRY EDUCATION CENTER, SAND RIDGE TRAIL, STAND 2-9.Alabama,US",GBIF
3766334263,Carya pallida,-84.826298,32.445536,"FT. BENNING, GA. COMPARTMENT M6 (TROUP 453).Georgia,US",GBIF
3744710423,Carya pallida,-86.54,31.91,"3 air mi SW of Blountsville.Alabama,US",GBIF
3744711804,Carya pallida,-85.41,33.99,"Indian Mountain. Near N34 01 10.9 W85 25 30.6; North of access road leading to south side of Forever Wild Tract.Alabama,US",GBIF
3744711802,Carya pallida,-87.03,33.05,"ca 9.4 mi NE of Centreville ca 0.75 mi WNW of Bulldog Bend Bridge ca 0.05 mi N of Little Cahaba RiverAlabama,US",GBIF
3744711616,Carya pallida,-85.18,32.46,"On Co Rd 79 at St. Paul's CME Church, ca. 1 mi N of Crawford; N1/2 Sec 13, T17N R28EAlabama,US",GBIF
3744711614,Carya pallida,-85.11,31.25,"ca. 3 miles south of Columbia; Woods around George Andrews Lock & Dam public areaAlabama,US",GBIF
3744711612,Carya pallida,-86.04,34.08,"Bruton Gap Road, E of I-59; 1.5 mi. E of Pleasant Hill [Britton Gap on label]Alabama,US",GBIF
3744711611,Carya pallida,-85.68,33.6,"EdenAlabama,US",GBIF
3744683632,Carya pallida,-81.59,34.27,"Lynch's Woods Park. Off of US 76. 0.7 mi SE of jct with SC 219. Ca. 1.5 mi E of downtown Newberry.South Carolina,US",GBIF
3709984780,Carya pallida,-84.126147,32.198186,"Andersonville National Historic Site: along n border of National Prisoner of War Museum parking lot.Georgia,US",GBIF
3709977930,Carya pallida,-84.140682,33.810615,"Stone Mountain ParkGeorgia,US",GBIF
3709944616,Carya pallida,-83.485139,32.502647,"Private propertyGeorgia,US",GBIF
3709966910,Carya pallida,-83.557881,32.506678,"Oaky Woods WMAGeorgia,US",GBIF
3707760954,Carya pallida,-88.7682,32.9523,"Ca 2 mi NW of Gholson, take blacktop rd N from Hwy 21, 0.5 mi W of Gholson, at 0.4 mi take dirt rd. 2.1 mi W.Mississippi,US",GBIF
3707759742,Carya pallida,-89.591111,32.42,"NW corner at FS Road Crossing NW of Forest ECC# 1995.22.03Mississippi,US",GBIF
3707759180,Carya pallida,-89.519722,32.076111,"Grand Sir Area, NE of Raleigh ECC# 1995.17.04Mississippi,US",GBIF
