Id,Scientific,Longitude,Latitude,LocalityNa,Source
3873395906,Carya palmeri,-98.190798,20.304095,"Puebla,MX",GBIF
3306204656,Carya palmeri,-99.623722,21.106194,"En el km 6 de la desviación hacia Bucareli.Queretaro de arteaga,MX",GBIF
2862323896,Carya palmeri,-100.206348,25.251801,"Nuevo León,MX",GBIF
2807639982,Carya palmeri,-100.282,25.7084,"Rancho de La Hermanita, 36 mi S of Río Catarina bridge in Monterrey on Méx 85, 4.1 mi W of Méx 85 to base of hillsNuevo Leon,MX",GBIF
2629716075,Carya palmeri,-97.91,21.201944,"Sierra de San Juan OtontepecVeracruz de ignacio de la llave,MX",GBIF
2629667485,Carya palmeri,-100.283333,25.366667,"Cañón La Boca, Sierra madre OrientalNuevo leon,MX",GBIF
2629467359,Carya palmeri,-98.514444,20.505278,"1 km E of Viborillas, 4 km S of HuayacocotlaVeracruz de ignacio de la llave,MX",GBIF
2629435897,Carya palmeri,-99.093611,21.172222,"1 km al SE de La Mesa de JagüeyQueretaro de arteaga,MX",GBIF
2629435453,Carya palmeri,-99.536389,21.12675,"4.5 km de San Pedro el Viejo, sobre el camino a La YerbabuenaQueretaro de arteaga,MX",GBIF
1895676295,Carya palmeri,-98.764444,20.753333,"Eloxochitlan, 6.5 km al EHidalgo,MX",GBIF
1895502027,Carya palmeri,-99.263611,24.350556,"30 Km al N de AdelaidaTamaulipas,MX",GBIF
1895501889,Carya palmeri,-100.1651516,25.4653524,"Cañón Guajuco, Rancho Vista Hermosa, Mpio de Villa SantiagoNuevo leon,MX",GBIF
1895384558,Carya palmeri,-100.3418234,25.5786803,"Cañón Diente; near MonterreyNuevo leon,MX",GBIF
1895501879,Carya palmeri,-99.566667,24.016667,"W of Santa Engracia into the Sa, ca 35 Km W of railrd crossing in AdelaidaTamaulipas,MX",GBIF
1895501875,Carya palmeri,-99.528333,23.970278,"rd from Sta Engracia toward Dulces Nombres, N.L., 5.5 rd mi W of Paraje de Los Caballos, 6.2 rd mi SE of Dulces Nombres; at crossing of deep canyon of Arroyo Ramirez LunaNuevo leon,MX",GBIF
1895501868,Carya palmeri,-99.817508,25.129947,"Rancho de La Hermanita, 36 mi S of Río Catarina bridge in Monterrey on Méx 85, 4.1 mi W of Méx 85 to base of hillsNuevo leon,MX",GBIF
1894705289,Carya palmeri,-98.704722,20.743889,"Molocotlán, 1.5 km al SEHidalgo,MX",GBIF
1894464167,Carya palmeri,-97.866667,21.266667,"En la cima de la Sierra de Otontepec, al NE de TepetzintlaVeracruz de ignacio de la llave,MX",GBIF
1894424622,Carya palmeri,-100.1556,25.2417,"Cañón Los Positos, on the road to La TrinidadNuevo leon,MX",GBIF
1894422899,Carya palmeri,-100.131944,25.403333,"El Cercado, SantiagoNuevo leon,MX",GBIF
1893942480,Carya palmeri,-99.268472,23.435194,"Río Guayalejo, Los NogalesTamaulipas,MX",GBIF
1893727604,Carya palmeri,-103.593211,20.801602,"CAÑADA DEL BALNEARIO AGUA CALIENTE EL ENCANTO, 5 KM AL W DE SANTA LUCIA, MPIO. ZAPOPAN, JAL.Jalisco,MX",GBIF
1893727597,Carya palmeri,-99.10895,21.265177,"± 5 KM DE EL LOBO, POR EL CAMINO A AGUA ZARCA, MPIO. LANDA, QRO.Queretaro,MX",GBIF
1893727594,Carya palmeri,-99.48895,21.116914,"4.5 KM DE SAN PEDRO EL VIEJO, SOBRE EL CAMINO A LA YERBABUENA, MPIO. PINAL DE AMOLES, QRO.Queretaro,MX",GBIF
1893727592,Carya palmeri,-103.818333,20.193333,"CAÑADA DE LOS ALRREDEDORES DEL BALNEARIO AGUA CALIENTE, 5 KM AL W DE SANTA LUCIAJalisco,MX",GBIF
1893727575,Carya palmeri,-99.065891,21.217882,"1 KM AL SE DE LA MESA DEL JAGUEY, MPIO. LANDAQueretaro,MX",GBIF
1893412381,Carya palmeri,-99.058333,21.341667,"5 Km al NW de Ahuacatlán, Mpio. XilitlaSan luis potosi,MX",GBIF
1259040568,Carya palmeri,-100.16,25.35,"On NL 192, road from Santiago, on MEX 85, to Saltillo. 1 km W of Hotel Hacienda Cola de Caballo. Steep rocky hillside below road, with several species of oaksNuevo León,MX",GBIF
1259014470,Carya palmeri,-99.9,24.72,"On NL 60, eastern edge of Iturbide, at junction with road to Santa Rosa/Cuevas/Camarones. Down below road, very near to houses and pecan trees, but crown arching near or over main roadNuevo León,MX",GBIF
1259014435,Carya palmeri,-99.98,25.09,"On NL 7 from Montemorelos to Rayones, 21.5 km SW fo MEX 85. Ravine next to road next to oaks, redbud, etc. Eastern slope of Sierra Madre Oriental with shear limestone mountainsNuevo León,MX",GBIF
97947118,Carya palmeri,-100.2470192,25.75846836,"Nuevo Le??n, MX",Inaturalist
50970084,Carya palmeri,-100.5561386,25.67766309,"Nuevo Le??n, MX",Inaturalist
32271188,Carya palmeri,-100.2726686,25.29390872,"Nuevo Le??n, MX",Inaturalist
