Scientific,Longitude,Latitude,LocalityNa,Source
Carya sinensis,110.100402,24.073299,广西壮族自治区来宾市金秀瑶族自治县长峒乡中村,CSFI(CVH)
Carya sinensis,109.48666,25.674414,广西壮族自治区柳州市三江侗族自治县老堡乡老堡站,IBK（CVH）
Carya sinensis,109.989409,24.92282,广西壮族自治区桂林市永福县广福乡,IBK（CVH）
Carya sinensis,107.900945,24.091221,广西壮族自治区河池市都安瑶族自治县保安乡巴善村,IBK（CVH）
Carya sinensis,107.506149,25.0081,广西壮族自治区河池市南丹县城关镇山口林场,IBK（CVH）
Carya sinensis,108.58313,24.90624,广西壮族自治区罗城仫佬族自治县兼爱乡正峒,IBK（CVH）
Carya sinensis,106.36922,24.360962,广西壮族自治区田林县利周乡老山村,IBK（CVH）
Carya sinensis,107.080964,25.160193,广西壮族自治区天峨县坡结乡坡结村,IBK（CVH）
Carya sinensis,107.404196,24.376312,广西壮族自治区东兰县三石镇弄英村,IBK（CVH）
Carya sinensis,106.636376,24.520923,广西壮族自治区凌云县加尤镇百陇村,IBK（CVH）
Carya sinensis,109.592453,25.635742,广西壮族自治区三江县老堡乡老堡村,IBK（CVH）
Carya sinensis,109.926496,25.03299,广西壮族自治区永福县茶料大排口（茶料大茶山脚）,IBK（CVH）
Carya sinensis,107.509707,25.104264,广西壮族自治区南丹县拉堡村,IBK（CVH）
Carya sinensis,105.3347,24.68123,广西壮族自治区西林县马蚌乡至古障镇,IBK（CVH）
Carya sinensis,106.817838,22.391288,广西壮族自治区龙州县弄岗国家级自然保护区,IBK（CVH）
Carya sinensis,107.965193,25.956172,贵州省黔南布依族苗族自治州三都水族自治县尧人山国家森林公园,IBSC(CVH)
Carya sinensis,105.630906,23.625319,云南省文山壮族苗族自治州富宁县架街村,PE(CVH)
Carya sinensis,107.819587,24.997739,广西壮族自治区河池市南丹县瑶寨,GXMI(CVH)
Carya sinensis,108.581506,24.841634,广西壮族自治区河池市罗城仫佬族自治县怀群镇,IBK(CVH)
Carya sinensis,109.012242,25.039248,广西壮族自治区河池市罗城仫佬族自治县龙岸镇,IBK(CVH)
Carya sinensis,109.748629,25.917441,湖南省怀化市通道侗族自治县甘溪村,CSFI(CVH)
Carya sinensis,109.81221,26.117672,湖南省怀化市通道侗族自治县恩戈,CSFI(CVH)
Carya sinensis,106.251317,25.154679,中国 贵州省 望谟县 纳上林场炭山沟沟谷,GFS(CVH)
Carya sinensis,108.045434,25.090291,广西壮族自治区河池市环环江县川山镇白丹村,IBK(CVH)
Carya sinensis,106.087369,25.119024,贵州省黔西南布依族苗族自治州望谟县洛郎村,SHM(CVH)
Carya sinensis,106.576819,25.315248,贵州省黔南布依族苗族自治州罗甸县罗帼镇洞上,GFS(CVH)
Carya sinensis,105.582961,25.127049,贵州省黔西南布依族苗族自治州安龙县平乐乡,GFS(CVH)
Carya sinensis,104.903622,23.231265,云南省文山壮族苗族自治州麻栗坡县八布乡,KUN(CVH)
Carya sinensis,104.791706,23.385864,云南省文山壮族苗族自治州西畴县法斗乡,KUN(CVH)
Carya sinensis,107.709778,25.251007,贵州省 黔南布依族苗族自治州 荔波县 荔波小七孔,PPBC
Carya sinensis,106.449946,25.159391,贵州省 黔西南布依族苗族自治州 望谟县 桑郎河峡谷,PPBC
Carya sinensis,104.953587,23.474313,云南麻栗坡基地和凹塘,PPBC
Carya sinensis,109.51138,25.49387,广西省三江侗族自治县丹洲镇东风村,pro.liu
Carya sinensis,109.89934,25.82039,广西省龙胜各族自治县瓢里镇上塘村,pro.liu
Carya sinensis,106.395925,23.739597,广西省右江区大楞乡平慢村,pro.liu
Carya sinensis,106.23694,24.76885,广西省乐业县雅长乡百康村,pro.liu
Carya sinensis,106.35504,24.4818,广西省田林县浪平乡浪平村,pro.liu
Carya sinensis,107.11471,24.15612,广西省巴马瑶族自治县燕洞乡龙甲村,pro.liu
Carya sinensis,107.83087,24.16284,广西省都安瑶族自治县保安乡河沌村,pro.liu
