species,Longitude,Latitude
Carya alba,-81.801749,27.752253
Carya alba,-82.2167,28.5833
Carya alba,-82.45,28.8667
Carya alba,-82.158631,29.177307
Carya alba,-82.043717,29.198133
Carya alba,-82.297019,29.475696
Carya alba,-94.392778,29.573151
Carya alba,-82.421323,29.596644
Carya alba,-82.352406,29.613764
Carya alba,-82.458321,29.663273
Carya alba,-82.455261,29.711656
Carya alba,-82.698837,29.749328
Carya alba,-95.350912,29.802617
Carya alba,-82.497147,29.836108
Carya alba,-82.587617,29.918004
Carya alba,-82.769233,29.956828
Carya alba,-84.5623,29.9898
Carya alba,-93.13679,30.030618
Carya alba,-97.266881,30.054384
Carya alba,-84.367834,30.12302
Carya alba,-91.1231,30.215783
Carya alba,-94.177445,30.250892
Carya alba,-97.493972,30.27442
Carya alba,-93.261108,30.295717
Carya alba,-95.208674,30.349974
Carya alba,-83.9833,30.35
Carya alba,-83.1347,30.3603
Carya alba,-88.7675,30.369444
Carya alba,-88.794572,30.39852
Carya alba,-84.085022,30.41115
Carya alba,-88.966521,30.424783
Carya alba,-85.1664,30.4272
Carya alba,-83.0583,30.4333
Carya alba,-84.270999,30.434946
Carya alba,-84.168934,30.445963
Carya alba,-84.496478,30.44835
Carya alba,-84.977622,30.455717
Carya alba,-94.814735,30.456711
Carya alba,-87.092339,30.458908
Carya alba,-87.916671,30.46086
Carya alba,-84.385957,30.470315
Carya alba,-88.154061,30.497148
Carya alba,-94.7825,30.499444
Carya alba,-89.709145,30.509324
Carya alba,-84.288222,30.534767
Carya alba,-84.6136,30.5795
Carya alba,-84.23149,30.596111
Carya alba,-87.1611,30.5994
Carya alba,-84.9018,30.6236
Carya alba,-95.536845,30.625994
Carya alba,-87.91572,30.627875
Carya alba,-94.662262,30.642597
Carya alba,-83.234193,30.652107
Carya alba,-87.96,30.68
Carya alba,-87.86,30.68
Carya alba,-90.4725,30.6825
Carya alba,-94.218498,30.717538
Carya alba,-84.977128,30.784786
Carya alba,-91.217109,30.789256
Carya alba,-88.730086,30.807506
Carya alba,-94.024214,30.814605
Carya alba,-81.9361,30.8203
Carya alba,-83.882597,30.820751
Carya alba,-94.484545,30.822578
Carya alba,-84.024427,30.836573
Carya alba,-90.399572,30.853331
Carya alba,-89.982117,30.871633
Carya alba,-88.449716,30.884345
Carya alba,-83.358828,30.896502
Carya alba,-88.876881,30.931634
Carya alba,-87.039037,31.00162
Carya alba,-87.687514,31.019697
Carya alba,-89.008997,31.023489
Carya alba,-89.170723,31.030022
Carya alba,-88.90032,31.033748
Carya alba,-94.274414,31.058657
Carya alba,-90.13027,31.06325
Carya alba,-87.98,31.08
Carya alba,-89.530929,31.082046
Carya alba,-84.333,31.083
Carya alba,-86.552838,31.090301
Carya alba,-93.785222,31.124747
Carya alba,-89.24109,31.14201
Carya alba,-86.184974,31.142121
Carya alba,-90.7,31.15
Carya alba,-90.841667,31.158333
Carya alba,-89.715472,31.159028
Carya alba,-86.68906,31.16361
Carya alba,-84.465,31.176111
Carya alba,-90.503829,31.189394
Carya alba,-89.175111,31.202621
Carya alba,-89.743463,31.218482
Carya alba,-89.501254,31.251951
Carya alba,-91.113513,31.271
Carya alba,-89.242215,31.298782
Carya alba,-89.368309,31.305736
Carya alba,-89.154344,31.32491
Carya alba,-89.023171,31.344057
Carya alba,-90.404103,31.397548
Carya alba,-92.86806,31.4025
Carya alba,-92.5,31.42
Carya alba,-93.16367,31.444838
Carya alba,-90.323685,31.457563
Carya alba,-90.418575,31.474057
Carya alba,-93.146513,31.498199
Carya alba,-90.45754,31.516196
Carya alba,-90.16089,31.57374
Carya alba,-83.49027,31.72159
Carya alba,-85.997043,31.75041
Carya alba,-89.01432,31.77078
Carya alba,-90.354205,31.853126
Carya alba,-89.983389,31.877102
Carya alba,-90.099596,31.88169
Carya alba,-86.029892,31.884558
Carya alba,-81.072186,31.959614
Carya alba,-93.47242,31.96114
